"Time (ms)","Recording (a.u.)"
3.750142051E0,-8.259208873E-3
3.770976173E0,-7.768670097E-3
3.791810296E0,-7.098698523E-3
3.812644418E0,-6.530041806E-3
3.833478541E0,-6.002162583E-3
3.854312663E0,-5.269430578E-3
3.875146786E0,-4.553329665E-3
3.895980908E0,-3.780117724E-3
3.916815031E0,-3.037290415E-3
3.937649153E0,-2.251010621E-3
3.958483276E0,-1.370418118E-3
3.979317398E0,-6.036412669E-4
4.000151521E0,2.802113304E-4
4.020985643E0,1.141767483E-3
4.041819766E0,1.850251341E-3
4.062653888E0,2.693002578E-3
4.083488011E0,3.532547969E-3
4.104322133E0,4.301378503E-3
4.125156256E0,5.228842609E-3
4.145990378E0,6.018523127E-3
4.166824501E0,6.623926573E-3
4.187658623E0,7.308600470E-3
4.208492746E0,7.885918021E-3
4.229326868E0,8.471541107E-3
4.250160991E0,8.979817852E-3
4.270995113E0,9.464689530E-3
4.291829236E0,9.937524796E-3
4.312663358E0,1.029605418E-2
4.333497481E0,1.093740109E-2
4.354331603E0,1.132024173E-2
4.375165726E0,1.149891783E-2
4.395999848E0,1.184185687E-2
4.416833971E0,1.206197776E-2
4.437668093E0,1.233210973E-2
4.458502216E0,1.251186803E-2
4.479336338E0,1.261034980E-2
4.500170461E0,1.259824447E-2
4.521004584E0,1.262359973E-2
4.541838706E0,1.266768761E-2
4.562672829E0,1.245493907E-2
4.583506951E0,1.237406209E-2
4.604341074E0,1.208429970E-2
4.625175196E0,1.167581789E-2
4.646009319E0,1.143853925E-2
4.666843441E0,1.092056092E-2
4.687677564E0,1.043987181E-2
4.708511686E0,1.002479345E-2
4.729345809E0,9.494077414E-3
4.750179931E0,9.018582292E-3
4.771014054E0,8.344294503E-3
4.791848176E0,7.696663961E-3
4.812682299E0,7.216967642E-3
4.833516421E0,6.618281826E-3
4.854350544E0,6.063363515E-3
4.875184666E0,5.308014806E-3
4.896018789E0,4.523010924E-3
4.916852911E0,3.852956463E-3
4.937687034E0,3.045285121E-3
4.958521156E0,2.411688678E-3
4.979355279E0,1.691745012E-3
5.000189401E0,1.039336319E-3
5.021023524E0,4.532483290E-4
5.041857646E0,-2.465948928E-4
5.062691769E0,-7.545368280E-4
5.083525891E0,-1.532287104E-3
5.104360014E0,-2.257978311E-3
5.125194136E0,-2.860630630E-3
5.146028259E0,-3.644328099E-3
5.166862381E0,-4.254863597E-3
5.187696504E0,-4.999191500E-3
5.208530626E0,-5.645614117E-3
5.229364749E0,-6.081281230E-3
5.250198871E0,-6.616479717E-3
5.271032994E0,-7.020457648E-3
5.291867116E0,-7.418873720E-3
5.312701239E0,-7.726870477E-3
5.333535361E0,-7.938882336E-3
5.354369484E0,-8.187737316E-3
5.375203606E0,-8.315405808E-3
5.396037729E0,-8.587995544E-3
5.416871851E0,-8.892243728E-3
5.437705974E0,-9.112793952E-3
5.458540096E0,-9.282337502E-3
