"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.034184342E2,-5.914513394E-2,-4.533245564E-1,-7.019971371E0
1.034384202E2,-2.527507246E-1,-1.460161328E0,-6.217226505E0
1.034584073E2,-2.460563630E-1,-2.188558102E0,-5.822119713E0
1.034783942E2,1.586557925E-1,-2.062852859E0,-5.525022984E0
1.034983812E2,4.847223461E-1,-2.364076376E0,-5.123981476E0
1.035183682E2,7.893694639E-1,-2.109833717E0,-4.667254925E0
1.035383542E2,1.037103415E0,-1.062075615E0,-3.563386917E0
1.035583412E2,1.088419199E0,-1.291671246E-1,-2.231954098E0
1.035783282E2,7.951200604E-1,3.037795126E-1,-1.428364992E0
1.035983152E2,4.568010271E-1,5.014076829E-1,-9.961864948E-1
1.036183022E2,3.698806763E-1,8.630455732E-1,-6.674267054E-1
1.036382892E2,5.558853745E-1,1.161154747E0,-3.594563305E-1
1.036582752E2,1.014855623E0,1.450104833E0,2.636032403E-1
1.036782622E2,1.407709956E0,1.605551600E0,1.012883067E0
1.036982492E2,1.488677025E0,1.891960263E0,1.528249264E0
1.037182362E2,1.728239536E0,1.402520180E0,1.817816138E0
1.037382232E2,1.752126098E0,9.910169244E-1,1.465794444E0
1.037582103E2,1.060540557E0,1.797849059E0,9.934579730E-1
1.037781962E2,9.939339757E-2,2.827165604E0,9.947029948E-1
1.037981832E2,-7.082000971E-1,3.378612280E0,1.245901942E0
1.038181702E2,-1.199137092E0,1.634078145E0,1.372017622E0
1.038381572E2,-1.125898242E0,7.362945080E-1,1.328806758E0
1.038581442E2,-5.408708453E-1,1.895119786E0,1.233280420E0
1.038781302E2,-2.456211895E-1,2.628199339E0,1.066758871E0
1.038981172E2,-2.982048392E-1,2.234942436E0,1.106829882E0
1.039181042E2,-2.922743559E-1,1.743052840E0,1.185646653E0
1.039380912E2,3.402644023E-2,2.311609268E0,9.421671033E-1
1.039580782E2,1.869036108E-1,9.703990817E-1,1.246862888E0
1.039780652E2,2.158493996E-1,5.514664203E-2,1.426093102E0
1.039980512E2,2.039589882E-1,8.923046291E-2,1.288970113E0
1.040180382E2,1.058393717E-1,3.962301016E-1,1.315141797E0
1.040380252E2,-7.558041811E-2,6.660323739E-1,1.598189950E0
1.040580122E2,-2.772111893E-1,8.428276181E-1,1.697791934E0
1.040779992E2,-5.543703437E-1,9.075938463E-1,1.477486491E0
1.040979862E2,-9.667959213E-1,8.102746010E-1,1.173859477E0
1.041179722E2,-1.262154818E0,6.924746633E-1,1.125461578E0
1.041379592E2,-1.160325289E0,1.179093003E0,1.133601785E0
1.041579462E2,-7.042244673E-1,1.745672822E0,1.101225019E0
1.041779332E2,-1.018434912E-1,2.019251108E0,1.024105191E0
1.041979202E2,2.864628732E-1,1.651572585E0,9.272390008E-1
1.042179062E2,3.901769817E-1,1.222484708E0,9.245894551E-1
1.042378932E2,3.695011437E-1,1.299861431E0,1.031315446E0
1.042578802E2,2.895965874E-1,1.542451501E0,1.111261845E0
1.042778672E2,1.950622201E-1,1.947998762E0,1.207118869E0
1.042978542E2,-4.300580546E-2,1.762510538E0,1.141311169E0
1.043178406E2,-1.358979642E-1,1.495967031E0,9.527880549E-1
1.043378266E2,-6.277639419E-2,1.554730177E0,9.084541202E-1
1.043578136E2,1.690465212E-1,1.530764222E0,9.348875880E-1
1.043778006E2,5.040655136E-1,1.447692513E0,9.976372719E-1
1.043977876E2,7.325561047E-1,1.385349154E0,1.068979144E0
1.044177746E2,6.494318843E-1,1.171856523E0,1.127265334E0
1.044377616E2,3.011145592E-1,1.372290850E0,1.190909266E0
1.044577476E2,-3.079013526E-1,1.721498370E0,1.274855018E0
1.044777346E2,-8.534890413E-1,1.852440238E0,1.038736582E0
1.044977216E2,-1.120330095E0,1.885719657E0,5.535373092E-1
1.045177086E2,-1.062282920E0,1.599750876E0,2.474772483E-1
1.045376956E2,-8.773649931E-1,9.013385177E-1,3.849512935E-1
1.045576816E2,-7.044137716E-1,-1.544981916E-2,6.317676902E-1
1.045776686E2,-6.613121033E-1,-5.400425196E-1,7.000069022E-1
1.045976556E2,-8.063464165E-1,-4.153240025E-1,7.493978739E-1
1.046176426E2,-1.094883680E0,-2.809008956E-1,7.414811850E-1
1.046376296E2,-1.175240636E0,5.251276493E-1,4.639246464E-1
1.046576166E2,-9.718194604E-1,1.701322675E0,2.158796787E-1
1.046776026E2,-6.967723966E-1,2.165758848E0,1.403380483E-1
1.046975896E2,-3.858715594E-1,1.638422012E0,3.827810287E-1
1.047175766E2,2.679843642E-2,8.110865951E-1,6.408932805E-1
1.047375636E2,4.426244497E-1,4.345876873E-1,9.971044064E-1
1.047575506E2,7.139800191E-1,4.647440910E-1,1.233530045E0
1.047775366E2,5.845218301E-1,7.072661519E-1,1.325611234E0
1.047975236E2,1.587594748E-1,8.310207129E-1,1.439650178E0
1.048175106E2,-3.565486073E-1,7.535637617E-1,1.456010222E0
1.048374976E2,-7.345177531E-1,7.332054973E-1,1.334623814E0
1.048574846E2,-8.938509822E-1,6.463658810E-1,9.436014891E-1
1.048774716E2,-8.191010952E-1,5.491118431E-1,6.689352989E-1
1.048974576E2,-4.786529243E-1,6.999264359E-1,5.419512987E-1
1.049174446E2,-1.152174175E-1,9.606715441E-1,4.934540391E-1
1.049374316E2,1.051561162E-1,8.942698836E-1,4.231156409E-1
1.049574186E2,1.341894418E-1,4.762406349E-1,3.228380680E-1
1.049774056E2,1.289420426E-1,3.975482658E-2,3.268224299E-1
1.049973926E2,1.219450906E-1,-6.251759082E-2,3.291340172E-1
1.050173786E2,1.592386514E-1,-5.756326392E-2,3.525488675E-1
1.050373656E2,1.960187554E-1,-1.507312991E-2,3.219312727E-1
1.050573526E2,1.609630734E-1,1.394013409E-3,3.110905886E-1
1.050773396E2,1.135760248E-1,1.358574033E-1,3.022291660E-1
1.050973266E2,3.164680302E-2,2.141737565E-2,3.148539066E-1
1.051173126E2,7.978895307E-2,-2.177751213E-1,3.195900917E-1
1.051372996E2,1.338894218E-1,-4.456149638E-1,2.453294545E-1
1.051572866E2,1.706851870E-1,-4.780377746E-1,2.791340053E-1
1.051772736E2,1.744199097E-1,-3.911736906E-1,4.102108181E-1
1.051972606E2,1.603508368E-2,-3.937065303E-1,4.965041578E-1
1.052172476E2,-3.372167051E-1,-3.670687675E-1,5.262309313E-1
1.052372336E2,-5.781136155E-1,-3.032600880E-1,6.743511558E-1
1.052572206E2,-6.597890854E-1,-3.090240061E-1,7.971513867E-1
1.052772076E2,-5.064245462E-1,-2.956245244E-1,5.652642846E-1
1.052971946E2,-4.505741969E-2,-4.423539340E-1,2.194131762E-1
1.053171820E2,3.780722618E-1,-8.039172888E-1,1.406080723E-1
1.053371690E2,6.218442917E-1,-1.317258120E0,-1.498339698E-4
1.053571550E2,7.336626053E-1,-1.753511906E0,-1.910263151E-1
1.053771420E2,7.669185400E-1,-1.985097051E0,-4.013079777E-2
1.053971290E2,8.142951131E-1,-1.900284410E0,-6.730010360E-2
1.054171160E2,8.145743608E-1,-1.508869767E0,1.269944478E-3
1.054371030E2,6.134171486E-1,-1.102939367E0,1.716365814E-1
1.054570890E2,2.805217803E-1,-6.672570109E-1,1.941157728E-1
1.054770760E2,-1.405619737E-2,-3.458617032E-1,1.765762120E-1
1.054970630E2,-2.024219930E-1,-2.972406745E-1,9.225413948E-2
1.055170500E2,-1.285662502E-1,-3.503507376E-1,-3.258660063E-2
1.055370370E2,2.718641609E-2,-4.095315337E-1,-1.247484758E-1
1.055570240E2,5.980678275E-2,-3.234567046E-1,-1.438984871E-1
1.055770100E2,2.944852598E-2,-2.030446529E-1,-8.135120571E-2
1.055969970E2,1.166494787E-1,-2.736847401E-1,-4.224082083E-2
1.056169840E2,1.448828727E-1,-5.031846762E-1,-8.275913075E-3
1.056369710E2,-7.106616627E-3,-3.871994615E-1,1.323921233E-2
1.056569580E2,-4.012538195E-1,5.857391655E-2,8.267873526E-2
1.056769450E2,-4.415706396E-1,7.826799154E-2,-7.236597687E-2
1.056969310E2,-2.549198568E-1,-9.491022676E-2,-1.700525582E-1
1.057169180E2,-2.320317328E-1,1.723903567E-1,-1.199113876E-1
