"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
9.726249162E1,-1.924676895E-1,-8.097234368E-1,2.097887844E-1
9.728247862E1,-1.950118840E-1,-8.511974216E-1,2.204336524E-1
9.730246562E1,-2.300156653E-1,-6.266537905E-1,2.249919176E-1
9.732245146E1,-2.861656845E-1,-7.004832625E-1,2.214931101E-1
9.734243846E1,-3.452562392E-1,-6.549208164E-1,2.157465219E-1
9.736242546E1,-4.081384540E-1,-6.706279516E-1,2.031319141E-1
9.738241246E1,-4.618358910E-1,-5.600830317E-1,1.947019398E-1
9.740239946E1,-5.021148324E-1,-5.067427754E-1,1.759506464E-1
9.742238646E1,-5.175136328E-1,-3.553655148E-1,1.616558582E-1
9.744237246E1,-5.028010607E-1,-1.036581397E0,1.460707486E-1
9.746235946E1,-4.693033695E-1,-3.748511374E-1,1.312766224E-1
9.748234646E1,-4.101117253E-1,-6.581310034E-1,1.138478741E-1
9.750233346E1,-3.325699866E-1,-3.190535307E-1,1.008391008E-1
9.752232046E1,-2.375797480E-1,-1.736807525E-1,8.223238587E-2
9.754230746E1,-1.321573257E-1,-1.745150685E-1,6.095243618E-2
9.756229346E1,-8.443031460E-3,-2.466349900E-1,3.348934650E-2
9.758228046E1,1.310601383E-1,-3.428727686E-1,8.984294720E-3
9.760226746E1,2.722587287E-1,-2.560606003E-1,-1.784999669E-2
9.762225446E1,4.181967676E-1,2.649922855E-2,-4.235801846E-2
9.764224146E1,5.752397776E-1,4.900197312E-2,-7.426826656E-2
9.766222746E1,7.416490912E-1,-1.013508514E-1,-1.141293645E-1
9.768221446E1,9.348766208E-1,1.363037378E-1,-1.476428956E-1
9.770220146E1,1.163457274E0,9.487648308E-2,-1.888741851E-1
9.772218846E1,1.402877808E0,2.664694190E-1,-2.205740809E-1
9.774217546E1,5.828662515E-1,9.756487608E-1,-1.739018798E0
9.776216246E1,-1.150961876E0,8.007901311E-1,-3.832566500E0
9.778214846E1,-1.226284742E0,1.103015184E0,-2.319466829E0
9.780213546E1,-3.760001361E-1,9.473858029E-2,-8.114318252E-1
9.782212246E1,-2.601113617E-1,2.980113029E-1,5.038962364E-1
9.784210946E1,-6.159391403E-1,5.072504878E-1,7.039502263E-1
9.786209646E1,-7.021287680E-1,6.272208095E-1,3.379456699E-1
9.788208346E1,-6.308462620E-1,4.230682850E-1,-3.631738722E-1
9.790206946E1,-7.127363980E-2,3.423324227E-1,-7.222731709E-1
9.792205646E1,4.383200407E-1,-6.559227407E-2,-6.231806278E-1
9.794204346E1,9.788834304E-2,-2.045811892E0,8.464544415E-1
9.796203046E1,5.179516971E-2,-2.180397034E0,7.143262625E-1
9.798201746E1,1.663113534E-1,-2.400640011E0,1.164449453E0
9.800200346E1,5.629653335E-1,-2.604838610E0,1.184949636E0
9.802199046E1,8.220885992E-1,-1.308433890E0,1.080035806E0
9.804197746E1,7.931630015E-1,8.156235814E-1,4.956580698E-1
9.806196446E1,9.041181207E-1,1.208798289E0,1.450900547E-2
9.808195146E1,1.490783811E0,2.673909068E-1,3.860175908E-1
9.810193846E1,2.010448456E0,-9.089561105E-1,9.780266285E-1
9.812192446E1,2.392419100E0,-8.813722730E-1,1.311608315E0
