Description	
Number of Runs	2500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	800
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
130	800	13	1	02/07/24 11:04:19 AM	
131	800	10	1	02/07/24 11:04:20 AM	
132	800	14	1	02/07/24 11:04:21 AM	
133	800	16	1	02/07/24 11:04:22 AM	
134	800	10	1	02/07/24 11:04:24 AM	
135	800	9	1	02/07/24 11:04:25 AM	
136	800	11	1	02/07/24 11:04:26 AM	
137	800	13	1	02/07/24 11:04:27 AM	
138	800	9	1	02/07/24 11:04:28 AM	
139	800	12	1	02/07/24 11:04:29 AM	
140	800	10	1	02/07/24 11:04:31 AM	
141	800	12	1	02/07/24 11:04:32 AM	
142	800	15	1	02/07/24 11:04:33 AM	
143	800	12	1	02/07/24 11:04:34 AM	
144	800	7	1	02/07/24 11:04:35 AM	
145	800	13	1	02/07/24 11:04:36 AM	
146	800	13	1	02/07/24 11:04:37 AM	
147	800	7	1	02/07/24 11:04:39 AM	
148	800	12	1	02/07/24 11:04:40 AM	
149	800	11	1	02/07/24 11:04:41 AM	
150	800	8	1	02/07/24 11:04:42 AM	
151	800	10	1	02/07/24 11:04:43 AM	
152	800	13	1	02/07/24 11:04:44 AM	
153	800	8	1	02/07/24 11:04:46 AM	
154	800	11	1	02/07/24 11:04:47 AM	
155	800	5	1	02/07/24 11:04:48 AM	
156	800	17	1	02/07/24 11:04:49 AM	
157	800	11	1	02/07/24 11:04:50 AM	
158	800	17	1	02/07/24 11:04:51 AM	
159	800	6	1	02/07/24 11:04:53 AM	
160	800	10	1	02/07/24 11:04:54 AM	
161	800	14	1	02/07/24 11:04:55 AM	
162	800	6	1	02/07/24 11:04:56 AM	
163	800	13	1	02/07/24 11:04:57 AM	
164	800	11	1	02/07/24 11:04:58 AM	
165	800	19	1	02/07/24 11:05:00 AM	
166	800	9	1	02/07/24 11:05:01 AM	
167	800	14	1	02/07/24 11:05:02 AM	
168	800	11	1	02/07/24 11:05:03 AM	
169	800	11	1	02/07/24 11:05:04 AM	
170	800	11	1	02/07/24 11:05:05 AM	
171	800	6	1	02/07/24 11:05:06 AM	
172	800	8	1	02/07/24 11:05:08 AM	
173	800	14	1	02/07/24 11:05:09 AM	
174	800	9	1	02/07/24 11:05:10 AM	
175	800	16	1	02/07/24 11:05:11 AM	
176	800	6	1	02/07/24 11:05:12 AM	
177	800	9	1	02/07/24 11:05:13 AM	
178	800	16	1	02/07/24 11:05:14 AM	
179	800	18	1	02/07/24 11:05:16 AM	
180	800	18	1	02/07/24 11:05:17 AM	
181	800	7	1	02/07/24 11:05:18 AM	
182	800	12	1	02/07/24 11:05:19 AM	
183	800	6	1	02/07/24 11:05:20 AM	
184	800	11	1	02/07/24 11:05:21 AM	
185	800	9	1	02/07/24 11:05:23 AM	
186	800	16	1	02/07/24 11:05:24 AM	
187	800	11	1	02/07/24 11:05:25 AM	
188	800	9	1	02/07/24 11:05:26 AM	
189	800	11	1	02/07/24 11:05:27 AM	
190	800	16	1	02/07/24 11:05:28 AM	
191	800	15	1	02/07/24 11:05:30 AM	
192	800	15	1	02/07/24 11:05:31 AM	
193	800	8	1	02/07/24 11:05:32 AM	
194	800	11	1	02/07/24 11:05:33 AM	
195	800	20	1	02/07/24 11:05:34 AM	
196	800	10	1	02/07/24 11:05:35 AM	
197	800	9	1	02/07/24 11:05:37 AM	
198	800	11	1	02/07/24 11:05:38 AM	
199	800	11	1	02/07/24 11:05:39 AM	
200	800	14	1	02/07/24 11:05:40 AM	
201	800	10	1	02/07/24 11:05:41 AM	
202	800	10	1	02/07/24 11:05:42 AM	
203	800	15	1	02/07/24 11:05:44 AM	
204	800	6	1	02/07/24 11:05:45 AM	
205	800	10	1	02/07/24 11:05:46 AM	
206	800	9	1	02/07/24 11:05:47 AM	
207	800	14	1	02/07/24 11:05:48 AM	
208	800	8	1	02/07/24 11:05:49 AM	
209	800	14	1	02/07/24 11:05:51 AM	
210	800	7	1	02/07/24 11:05:52 AM	
211	800	6	1	02/07/24 11:05:53 AM	
212	800	9	1	02/07/24 11:05:54 AM	
213	800	14	1	02/07/24 11:05:55 AM	
214	800	11	1	02/07/24 11:05:56 AM	
215	800	6	1	02/07/24 11:05:58 AM	
216	800	11	1	02/07/24 11:05:59 AM	
217	800	13	1	02/07/24 11:06:00 AM	
218	800	10	1	02/07/24 11:06:01 AM	
219	800	9	1	02/07/24 11:06:02 AM	
220	800	9	1	02/07/24 11:06:03 AM	
221	800	10	1	02/07/24 11:06:05 AM	
222	800	8	1	02/07/24 11:06:06 AM	
223	800	7	1	02/07/24 11:06:07 AM	
224	800	12	1	02/07/24 11:06:08 AM	
225	800	11	1	02/07/24 11:06:09 AM	
226	800	9	1	02/07/24 11:06:10 AM	
227	800	12	1	02/07/24 11:06:11 AM	
228	800	8	1	02/07/24 11:06:13 AM	
229	800	16	1	02/07/24 11:06:14 AM	
